,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
0,52.8,52.8,434.48,52.8,381.68
1,327.18,327.18,1264.05,327.18,936.87
2,177.68,177.68,3861.29,1243.73,373.94
3,38.96,38.96,140.0,38.96,101.04
4,101.71,101.71,344.83,203.42,70.71
5,49.41,49.41,474.14,98.82,187.66
6,5323.76,5323.76,14000.0,5323.76,8676.24
7,38.96,38.96,283.5,116.88,55.54
8,517.89,517.89,1615.0,517.89,1097.11
9,517.89,517.89,1615.0,517.89,1097.11
10,517.89,517.89,1615.0,517.89,1097.11
11,0.0,586.32,1615.0,586.32,1028.68
12,0.0,586.32,1615.0,586.32,1028.68
13,0.0,86.22,1485.25,86.22,1399.03
14,0.0,742.05,2095.25,742.05,1353.2
15,51.73,149.6,481.25,397.08,42.9
16,124.0,124.0,1542.56,248.0,647.28
17,0.0,141.9,375.0,425.69,-16.9
18,0.0,78.7,4106.5,393.48,742.6
19,0.0,75.77,5749.1,530.41,745.53
20,27.43,27.43,1489.05,82.29,468.92
21,147.76,147.76,2815.59,443.27,790.77
22,259.35,259.35,718.52,259.35,459.17
23,332.65,332.65,898.25,332.65,565.6
24,0.36,0.36,3000.0,0.72,1499.64
25,1081.89,1081.89,5544.0,3245.66,766.11
26,124.0,124.0,2425.0,620.0,361.0
27,44.14,44.14,2250.0,264.83,330.86
28,489.39,489.39,4010.92,978.77,1516.07
29,305.44,305.44,38979.6,9163.18,993.88
30,295.24,295.24,5136.22,1771.42,560.8
31,305.44,305.44,38979.6,9163.18,993.88
32,178.6,178.6,601.23,178.6,422.63
33,68.95,68.95,1505.0,689.45,81.56
34,78.32,78.32,2159.6,783.24,137.64
35,5.76,5.76,382.1,5.76,376.34
36,45.01,45.01,485.23,45.01,440.22
37,289.05,289.05,945.0,289.05,655.95
38,64.85,64.85,10384.0,2594.17,194.75
39,0.0,161.73,938.53,161.73,776.8
40,0.0,1509.14,38160.0,4527.42,11210.86
41,101.71,101.71,5572.89,915.42,517.5
42,0.0,81.91,5050.8,819.14,423.17
43,0.0,497.54,10624.0,3980.31,830.46
44,0.0,98.76,1198.1,197.51,500.3
45,140.29,140.29,803.0,140.29,662.71
46,181.88,181.88,1570.5,363.75,603.38
47,249.89,249.89,1231.7,499.77,365.96
48,48.56,48.56,1540.8,194.24,336.64
49,0.0,195.26,2150.0,195.26,1954.74
50,85.29,85.29,2655.0,426.47,445.71
51,220.0,220.0,385.0,220.0,165.0
52,211.36,211.36,500.0,211.36,288.64
53,242.48,242.48,1671.0,484.95,593.02
54,235.56,235.56,1791.0,471.13,659.94
55,0.0,319.8,1264.25,319.8,944.45
56,0.0,313.8,1264.25,313.8,950.45
57,44.7,44.7,2420.0,178.8,560.3
58,4.02,4.02,337.7,4.02,333.68
59,69.23,69.23,1116.28,138.46,488.91
60,69.23,69.23,1116.28,138.46,488.91
61,556.14,556.14,4236.0,1668.42,855.86
62,447.68,447.68,3564.0,1343.05,740.32
63,95.82,95.82,3978.0,574.91,567.18
64,158.4,158.4,991.6,316.8,337.4
65,272.65,272.65,17420.0,2181.22,1904.85
66,161.63,161.63,1010.46,323.25,343.6
67,105.68,105.68,3940.4,422.72,879.42
68,0.0,795.74,10577.12,3182.95,1848.54
69,51.38,51.38,1044.0,102.76,470.62
70,291.72,291.72,255.01,291.72,-36.71
71,0.0,240.87,5512.5,2408.67,310.38
72,52.48,52.48,364.55,52.48,312.07
73,139.82,139.82,662.0,139.82,522.18
74,275.5,275.5,44259.0,8264.95,1199.8
75,200.3,200.3,2999.72,600.9,799.61
76,372.67,372.67,14500.0,3726.73,1077.33
77,360.5,360.5,8700.0,2162.98,1089.5
78,337.97,337.97,8700.0,2027.79,1112.03
79,113.47,113.47,3320.0,907.73,301.53
80,77.13,77.13,2720.0,771.29,194.87
81,0.0,115.58,2051.74,231.15,910.29
82,0.0,165.19,3174.5,330.39,1422.06
83,0.0,385.71,5970.72,771.42,2599.65
84,85.89,85.89,566.64,85.89,480.75
85,95.96,95.96,5178.0,1151.56,335.54
86,131.65,131.65,6339.6,1579.75,396.65
87,0.0,292.75,1880.28,292.75,1587.53
88,71.25,71.25,3000.0,1425.02,78.75
89,38.96,38.96,98.0,38.96,59.04
90,363.33,363.33,2490.75,1090.0,466.92
91,27.08,27.08,473.28,27.08,446.2
92,436.54,436.54,1659.6,436.54,1223.06
93,38.96,38.96,107.76,38.96,68.8
94,113.22,113.22,499.0,113.22,385.78
95,0.0,247.52,2700.0,742.57,652.48
96,0.0,160.03,3567.0,480.08,1028.97
97,0.0,369.59,4305.0,1108.78,1065.41
98,0.0,67.42,990.0,134.84,427.58
99,71.25,71.25,125.0,71.25,53.75
100,75.89,75.89,175.0,75.89,99.11
101,0.0,1214.3,5251.0,2428.6,1411.2
102,1041.08,1041.08,4928.4,2082.15,1423.12
103,1298.68,1298.68,4137.0,2597.36,769.82
104,0.0,387.87,925.6,387.87,537.73
105,435.3,435.3,1517.63,435.3,1082.33
106,0.0,24.38,1995.4,97.52,474.47
107,167.3,167.3,2629.5,167.3,2462.2
108,104.4,104.4,535.09,104.4,430.69
109,0.0,336.57,2391.69,673.13,859.28
110,0.0,647.84,1572.45,647.84,924.61
111,0.0,436.05,9502.0,1744.19,1939.45
112,0.0,449.35,4161.7,898.7,1631.5
113,0.0,406.61,2118.0,406.61,1711.39
114,281.94,281.94,1250.0,281.94,968.06
115,0.0,67.22,2468.0,268.86,549.79
116,0.0,37.76,1020.0,75.53,472.24
117,13.38,13.38,197.5,13.38,184.12
118,0.0,226.23,1000.0,226.23,773.77
119,0.0,130.2,1700.8,520.79,295.0
120,0.0,137.08,971.0,274.16,348.42
121,220.0,220.0,385.0,220.0,165.0
122,492.92,492.92,3892.24,492.92,3399.32
123,13.38,13.38,197.5,13.38,184.12
124,174.76,174.76,871.5,174.76,696.74
125,0.0,106.0,1125.87,318.0,269.29
126,246.94,246.94,2200.0,493.89,853.06
127,90.18,90.18,565.4,90.18,475.22
128,156.83,156.83,1406.56,627.33,194.81
129,0.0,146.88,3953.0,587.54,841.37
130,0.0,186.95,3314.76,747.79,641.74
131,0.0,99.32,2630.32,397.28,558.26
132,130.78,130.78,1125.0,130.78,994.22
133,134.36,134.36,1125.0,134.36,990.64
134,189.47,189.47,13701.02,2842.01,723.93
135,220.0,220.0,462.0,220.0,242.0
136,395.14,395.14,2665.3,395.14,2270.16
137,141.65,141.65,1579.6,141.65,1437.95
138,526.27,526.27,21602.16,6315.25,1273.91
139,0.0,150.79,2134.4,603.18,382.81
140,96.78,96.78,7200.0,967.82,623.22
141,533.27,533.27,5632.95,1599.82,1344.38
142,319.99,319.99,6804.0,2239.95,652.01
143,0.0,164.55,3798.36,329.11,1734.63
144,168.4,168.4,2045.0,336.79,854.1
145,0.0,418.59,11579.97,1255.77,3441.4
146,0.0,665.36,1054.0,665.36,388.64
147,0.0,569.1,9596.04,2276.4,1829.91
148,78.83,78.83,3429.75,236.48,1064.42
149,0.0,83.5,1705.95,250.49,485.15
150,0.0,791.1,9159.75,2373.3,2262.15
151,0.0,143.89,2116.5,431.66,561.61
152,222.0,222.0,1626.21,444.0,591.1
153,113.59,113.59,715.7,227.19,244.26
154,153.97,153.97,8667.0,1539.68,712.73
155,112.64,112.64,3085.5,675.84,401.61
156,87.1,87.1,307.5,87.1,220.4
157,0.0,297.59,2092.22,595.19,748.52
158,0.0,111.63,900.0,334.89,188.37
159,182.75,182.75,5973.0,548.24,1808.25
160,0.0,106.18,3036.68,424.72,652.99
161,0.0,150.48,3152.2,601.92,637.57
162,36.92,36.92,840.0,73.84,383.08
163,299.62,299.62,945.0,299.62,645.38
164,31.72,31.72,1035.0,95.16,313.28
165,155.39,155.39,1989.28,310.77,839.25
166,145.21,145.21,1476.8,290.42,593.19
167,150.74,150.74,1452.18,150.74,1301.44
168,17.39,17.39,1185.0,104.34,180.11
169,106.55,106.55,336.93,106.55,230.38
170,0.0,89.85,3409.56,539.13,478.41
171,0.0,143.11,2259.43,143.11,2116.32
172,0.0,42.86,894.84,85.71,404.56
173,0.0,337.19,2174.6,337.19,1837.41
174,0.0,226.23,919.0,226.23,692.77
175,51.36,51.36,290.0,102.71,93.64
176,98.64,98.64,3000.0,789.1,276.36
177,1214.3,1214.3,5251.0,2428.6,1411.2
178,0.0,325.78,4758.64,2606.27,269.05
179,431.83,431.83,4556.9,863.66,1846.62
180,124.0,124.0,408.87,124.0,284.87
181,175.18,175.18,1136.53,175.18,961.35
182,12.4,12.4,862.07,12.4,849.67
183,0.0,1782.0,7575.0,5346.0,743.0
184,36.53,36.53,675.4,73.06,301.17
185,672.74,672.74,16492.26,7400.14,826.56
186,1190.42,1190.42,14096.87,7142.54,1159.06
187,0.0,70.04,2040.0,280.17,439.96
188,0.0,189.75,1626.1,379.5,623.3
189,0.0,346.74,2096.0,693.49,701.26
190,112.61,112.61,1050.0,225.21,412.39
191,0.0,3061.83,12750.0,4592.74,5438.17
192,38.96,38.96,239.66,77.92,80.87
193,227.18,227.18,813.0,227.18,585.82
194,0.0,773.91,2068.5,773.91,1294.59
195,304.25,304.25,9108.0,1825.52,1213.75
196,173.0,173.0,2985.3,865.0,424.06
197,29.9,29.9,683.25,29.9,653.35
198,222.0,222.0,813.1,222.0,591.1
199,0.0,52.74,12434.58,949.4,638.07
200,378.69,378.69,3040.0,757.39,1141.31
201,220.0,220.0,385.0,220.0,165.0
202,0.0,253.0,435.0,253.0,182.0
203,0.0,98.63,206.9,98.63,108.27
204,0.0,254.34,52200.0,9156.17,1195.66
205,37.66,37.66,1560.5,75.32,742.59
206,44.54,44.54,1598.24,89.08,754.58
207,48.09,48.09,1643.78,96.18,773.8
208,51.09,51.09,1678.86,102.18,788.34
209,141.49,141.49,1802.24,282.98,759.63
210,201.21,201.21,1984.0,402.41,790.79
211,188.85,188.85,2218.44,377.7,920.37
212,297.2,297.2,2224.0,594.4,814.8
213,30.17,30.17,5075.7,211.19,694.93
214,54.82,54.82,774.9,109.64,332.63
215,0.0,187.31,3348.0,374.62,1486.69
216,0.0,366.42,1920.0,732.84,593.58
217,112.8,112.8,1379.84,225.59,577.12
218,112.8,112.8,1379.84,225.59,577.12
219,0.0,227.18,813.0,227.18,585.82
220,0.0,427.12,9600.0,1281.35,2772.88
221,0.0,369.07,18630.0,2214.39,2735.93
222,101.99,101.99,3550.0,1019.92,253.01
223,0.0,1204.71,4436.54,2409.43,1013.56
224,0.0,74.08,650.32,74.08,576.24
225,1179.22,1179.22,1615.0,1179.22,435.78
226,1179.22,1179.22,1615.0,1179.22,435.78
227,1179.22,1179.22,1615.0,1179.22,435.78
228,1179.22,1179.22,1615.0,1179.22,435.78
229,1179.22,1179.22,1615.0,1179.22,435.78
230,338.28,338.28,1196.0,676.56,259.72
231,160.14,160.14,890.0,320.27,284.86
232,106.55,106.55,606.9,213.1,196.9
233,137.48,137.48,738.5,274.96,231.77
234,119.05,119.05,1775.0,595.24,235.95
235,0.0,125.12,2727.0,500.47,556.63
236,127.62,127.62,4070.0,1276.19,279.38
237,120.29,120.29,3904.0,962.29,367.71
238,113.69,113.69,3801.0,795.85,429.31
239,161.1,161.1,4072.0,1288.78,347.9
240,131.71,131.71,4095.0,395.14,1233.29
241,0.0,459.8,4060.0,1839.19,555.2
242,88.95,88.95,2249.28,355.8,473.37
243,7342.41,7342.41,1125.0,7342.41,-6217.41
244,0.0,440.7,2970.0,881.41,1044.3
245,339.43,339.43,44259.0,10182.84,1135.87
246,29.29,29.29,2500.8,117.15,595.91
247,90.42,90.42,1130.8,180.83,474.98
248,0.0,69.55,997.54,139.11,429.22
249,0.0,470.09,2508.7,470.09,2038.61
250,0.0,373.69,2056.7,747.38,654.66
251,0.0,559.98,1265.2,559.98,705.22
252,0.0,178.49,2397.3,535.46,620.61
253,0.0,139.69,1156.5,139.69,1016.81
254,173.44,173.44,2976.75,520.33,818.81
255,0.0,48.23,1076.1,144.69,310.47
256,0.0,208.27,1498.16,208.27,1289.89
257,0.0,688.35,1599.5,688.35,911.15
258,0.0,375.4,1455.25,375.4,1079.85
259,0.0,415.77,1398.79,415.77,983.02
260,0.0,601.65,2944.0,1203.29,870.35
261,236.98,236.98,1196.55,710.93,161.87
262,0.0,449.84,3689.64,1349.52,780.04
263,0.0,87.59,2040.0,175.18,932.41
264,0.0,43.81,2500.8,175.24,581.39
265,33.9,33.9,1875.86,135.61,435.06
266,688.31,688.31,2524.5,688.31,1836.19
267,236.68,236.68,4120.0,946.71,793.32
268,210.46,210.46,4378.4,841.84,884.14
269,1214.3,1214.3,5251.0,2428.6,1411.2
270,918.12,918.12,23340.0,5508.73,2971.88
271,0.0,1133.81,23340.0,6802.89,2756.19
272,220.0,220.0,462.0,220.0,242.0
273,0.0,41.26,4315.0,41.26,4273.74
274,173.44,173.44,2976.75,520.33,818.81
275,78.24,78.24,1038.0,156.48,440.76
276,211.36,211.36,512.36,211.36,301.0
277,137.48,137.48,382.76,137.48,245.28
278,0.0,134.94,560.04,134.94,425.1
279,235.81,235.81,13701.02,3537.11,677.59
280,370.94,370.94,1255.2,370.94,884.26
281,0.0,36.53,675.4,73.06,301.17
282,0.0,269.59,1931.0,539.17,695.91
283,87.1,87.1,1060.0,348.39,177.9
284,435.26,435.26,2265.0,435.26,1829.74
285,67.47,67.47,2296.0,269.88,506.53
286,122.14,122.14,5515.0,610.68,980.86
287,152.37,152.37,1155.6,304.73,425.43
288,0.0,428.56,11976.12,3857.05,902.12
289,216.65,216.65,800.0,216.65,583.35
290,1246.35,1246.35,8873.08,4985.4,971.92
291,143.8,143.8,470.0,143.8,326.2
292,326.23,326.23,5948.3,3262.29,268.6
293,212.44,212.44,999.91,212.44,787.46
294,317.3,317.3,980.6,317.3,663.3
295,317.3,317.3,980.6,317.3,663.3
296,269.6,269.6,4215.75,808.8,1135.65
297,0.0,111.07,1625.06,222.14,701.46
298,87.1,87.1,375.29,87.1,288.19
299,119.05,119.05,7100.0,2380.95,235.95
300,1666.85,1666.85,8334.25,8334.25,0.0
301,143.8,143.8,2350.0,719.0,326.2
302,2644.78,2644.78,4650.5,2644.78,2005.72
303,303.31,303.31,9307.2,1819.85,1247.89
304,673.14,673.14,3096.0,1346.28,874.86
305,0.0,1783.73,4508.2,1783.73,2724.47
306,220.0,220.0,924.0,440.0,242.0
307,38.96,38.96,215.52,77.92,68.8
308,417.45,417.45,2377.0,417.45,1959.55
309,261.77,261.77,8392.8,2617.65,577.51
310,0.0,351.08,16177.5,5266.17,727.42
311,220.0,220.0,385.0,220.0,165.0
312,377.29,377.29,9438.8,1509.17,1982.41
313,145.03,145.03,8730.0,1305.27,824.97
314,212.44,212.44,999.91,212.44,787.46
315,358.0,358.0,2431.0,716.01,857.5
316,97.81,195.77,1910.0,195.77,1714.24
317,525.52,525.52,6081.0,2102.1,994.73
318,248.65,248.65,2700.0,497.3,1101.35
319,44.14,44.14,1875.0,220.69,330.86
320,220.0,220.0,462.0,220.0,242.0
321,281.63,281.63,2821.2,563.27,1128.97
322,0.0,30.77,1790.0,153.86,327.23
323,541.44,541.44,3216.0,1082.88,1066.56
324,0.0,70.12,2691.6,420.72,378.48
325,112.11,112.11,710.0,112.11,597.89
326,0.0,244.02,12942.0,4880.41,403.08
327,761.07,761.07,6106.5,1522.13,2292.18
328,106.55,106.55,1348.0,426.19,230.45
329,626.37,626.37,3906.52,1252.74,1326.89
330,143.8,143.8,996.0,287.6,354.2
331,327.61,327.61,2005.5,327.61,1677.89
332,0.0,60.56,568.97,60.56,508.41
333,174.73,174.73,1700.0,349.45,675.27
334,300.96,300.96,5595.0,1805.76,631.54
335,1179.22,1179.22,1615.0,1179.22,435.78
336,319.43,319.43,1179.25,319.43,859.82
337,319.43,319.43,1179.25,319.43,859.82
338,417.02,417.02,1848.4,417.02,1431.38
339,417.02,417.02,1848.4,417.02,1431.38
340,66.08,66.08,1988.8,264.34,431.12
341,212.44,212.44,999.91,212.44,787.46
342,98.65,98.65,1318.96,197.3,560.83
343,64.98,64.98,2250.0,389.9,310.02
344,38.96,38.96,189.0,77.92,55.54
345,51.36,51.36,306.0,102.71,101.64
346,38.96,38.96,196.0,77.92,59.04
347,5211.65,5211.65,14000.0,5211.65,8788.35
348,222.0,222.0,732.0,222.0,510.0
349,200.3,200.3,1999.81,400.6,799.61
350,87.1,87.1,2650.8,870.97,177.98
351,0.0,620.47,14175.0,3102.37,2214.53
352,0.0,376.35,2495.0,752.71,871.15
353,519.02,519.02,850.2,519.02,331.18
354,0.0,89.76,485.3,89.76,395.54
355,0.0,72.34,570.3,72.34,497.96
356,1282.76,1282.76,12386.0,5131.02,1813.74
357,116.97,116.97,3568.0,233.93,1667.03
358,0.0,2448.37,7903.2,2448.37,5454.83
359,0.0,1273.61,10047.0,3820.84,2075.39
360,0.0,3489.32,13800.0,6978.64,3410.68
361,97.0,97.0,585.13,97.0,488.13
362,71.53,71.53,2244.0,286.12,489.47
363,88.34,88.34,2244.0,353.34,472.66
364,228.89,228.89,2130.0,686.66,481.11
365,0.0,50.94,579.66,50.94,528.72
366,0.0,45.28,800.0,45.28,754.72
367,0.0,4.92,1185.0,14.76,390.08
368,1137.06,1137.06,18242.88,6822.37,1903.42
369,698.18,698.18,23666.3,6981.76,1668.45
370,211.36,211.36,691.68,211.36,480.32
371,410.21,410.21,862.33,410.21,452.12
372,38.96,38.96,120.0,38.96,81.04
373,0.0,1560.44,37000.0,3120.88,16939.56
374,0.0,88.63,3750.0,2215.69,61.37
375,71.25,71.25,381.04,142.5,119.27
376,0.0,710.34,3700.0,1420.68,1139.66
377,102.22,102.22,636.21,102.22,533.99
378,0.0,502.32,2754.0,1506.97,415.68
379,97.46,97.46,4200.0,779.66,427.54
380,172.28,172.28,990.0,344.57,322.72
381,155.02,155.02,709.0,310.03,199.48
382,177.36,177.36,354.5,177.36,177.14
383,216.46,216.46,6595.74,649.37,1982.12
384,213.66,213.66,5041.92,854.65,1046.82
385,37.66,37.66,1560.5,75.32,742.59
386,44.54,44.54,1598.24,89.08,754.58
387,48.09,48.09,1643.78,96.18,773.8
388,51.09,51.09,1678.86,102.18,788.34
389,72.37,72.37,190.52,72.37,118.15
390,220.0,220.0,435.0,220.0,215.0
391,64.91,64.91,527.59,64.91,462.68
392,258.43,258.43,1205.0,258.43,946.57
393,173.0,173.0,704.5,173.0,531.5
394,0.0,714.2,74700.0,12855.68,3435.8
395,391.24,391.24,1556.35,782.48,386.94
396,116.73,116.73,907.5,116.73,790.77
397,48.49,48.49,495.0,145.47,116.51
398,410.21,410.21,862.35,410.21,452.14
399,316.4,316.4,1551.72,316.4,1235.32
400,6.69,6.69,538.79,6.69,532.1
401,24.0,24.0,387.93,24.0,363.93
402,258.21,258.21,1020.0,258.21,761.79
403,340.8,340.8,77959.2,20448.01,958.52
404,220.0,220.0,445.0,220.0,225.0
405,0.0,447.47,18156.0,5369.65,1065.53
406,0.0,26.95,6006.0,323.44,473.55
407,244.91,244.91,1056.03,244.91,811.12
408,88.95,88.95,3375.0,533.7,473.55
409,91.21,91.21,3879.6,547.28,555.39
410,366.1,366.1,36882.5,9152.38,1109.2
411,736.48,736.48,3053.25,736.48,2316.77
412,356.75,356.75,14753.0,3567.53,1118.55
413,0.0,791.1,9159.75,2373.3,2262.15
414,0.0,236.1,11160.0,4249.74,383.9
415,0.0,517.36,3799.7,1034.72,1382.49
416,0.0,305.38,9833.8,1221.53,2153.07
417,0.0,1306.63,4956.73,1306.63,3650.1
418,88.74,88.74,1972.5,266.21,568.76
419,0.0,1516.24,20887.18,1516.24,19370.94
420,2935.26,2935.26,14274.0,5870.53,4201.74
421,137.48,137.48,435.72,137.48,298.24
422,42.79,42.79,120.09,42.79,77.3
423,112.24,112.24,633.6,112.24,521.36
424,111.07,111.07,564.71,111.07,453.64
425,112.24,112.24,633.6,112.24,521.36
426,59.54,59.54,498.65,59.54,439.11
427,110.37,110.37,616.0,110.37,505.63
428,110.37,110.37,598.0,110.37,487.63
429,90.16,90.16,862.0,90.16,771.84
430,106.52,106.52,2116.5,319.57,598.98
431,0.0,158.37,2822.0,633.46,547.13
432,359.16,359.16,2278.45,359.16,1919.29
433,377.29,377.29,9438.8,1509.17,1982.41
434,0.0,165.15,1105.6,165.15,940.45
435,360.32,360.32,4800.0,720.65,2039.68
436,0.36,0.36,3000.0,0.72,1499.64
437,220.0,220.0,435.0,220.0,215.0
438,0.0,161.73,3754.12,646.92,776.8
439,0.0,47.25,810.4,94.49,357.95
440,113.59,113.59,357.76,113.59,244.17
441,0.0,91.9,3128.5,459.5,533.8
442,0.0,98.64,1877.1,295.92,527.06
443,51.36,51.36,153.45,51.36,102.09
444,0.0,203.34,5101.91,5083.38,0.74
445,0.0,1140.93,7413.0,4563.71,712.32
446,0.0,251.51,2995.0,1257.53,347.49
447,0.0,183.83,4400.0,735.34,916.17
448,0.0,755.73,3982.12,1511.46,1235.33
449,0.0,70.86,535.12,70.86,464.26
450,0.0,1830.01,7858.22,3660.03,2099.1
451,0.0,94.84,188.0,94.84,93.16
452,321.87,321.87,650.0,321.87,328.13
453,144.4,144.4,970.0,288.8,340.6
454,50.54,50.54,310.0,50.54,259.46
455,0.0,409.87,3191.49,1229.62,653.96
456,204.07,204.07,908.0,204.07,703.93
457,48.49,48.49,163.0,48.49,114.51
458,0.0,722.38,2325.0,722.38,1602.62
459,248.65,248.65,2700.0,497.3,1101.35
460,0.0,387.87,2010.0,775.73,617.13
461,0.0,404.78,1005.0,404.78,600.22
462,1125.85,1125.85,2849.5,1125.85,1723.65
463,432.3,432.3,1265.09,432.3,832.79
464,0.0,396.54,9006.9,3965.36,504.15
465,48.21,48.21,527.0,48.21,478.79
466,318.83,318.83,11169.0,2869.44,922.17
467,133.09,133.09,1120.69,133.09,987.6
468,160.64,160.64,4680.0,963.82,619.36
469,0.0,403.47,867.03,403.47,463.56
470,0.0,148.76,940.0,148.76,791.24
471,0.0,148.76,940.0,148.76,791.24
472,0.0,111.17,4103.6,2779.23,52.97
473,7.6,7.6,907.0,7.6,899.4
474,107.68,107.68,659.6,107.68,551.92
475,0.0,647.84,4717.35,1943.52,924.61
476,50.54,50.54,1240.0,202.16,259.46
477,493.68,493.68,6460.0,1974.74,1121.32
